Data,Medicamento,Categoria,Quantidade em Estoque,Quantidade Utilizada,Validade,Custo Unitário
2024-01-01,Amoxicilina,Antibiótico,213,68,2024-06-30,45.41
2024-01-02,Dipirona,Antibiótico,418,81,2024-07-31,20.26
2024-01-03,Ibuprofeno,Anti-inflamatório,487,86,2024-08-31,13.09
2024-01-04,Dipirona,Analgésico,213,88,2024-09-30,9.74
2024-01-05,Paracetamol,Anti-inflamatório,316,51,2024-10-31,17.48
2024-01-06,Dipirona,Analgésico,45,52,2024-11-30,22.89
2024-01-07,Dipirona,Antibiótico,131,18,2024-12-31,5.55
2024-01-08,Paracetamol,Antibiótico,187,52,2025-01-31,26.5
2024-01-09,Omeprazol,Anti-inflamatório,431,9,2025-02-28,21.39
2024-01-10,Dipirona,Antibiótico,266,36,2025-03-31,21.03
2024-01-11,Dipirona,Anti-inflamatório,313,57,2025-04-30,9.83
2024-01-12,Paracetamol,Analgésico,483,86,2025-05-31,40.41
2024-01-13,Dipirona,Analgésico,199,2,2025-06-30,20.12
2024-01-14,Dipirona,Anti-inflamatório,298,58,2025-07-31,6.07
2024-01-15,Omeprazol,Analgésico,60,5,2025-08-31,9.11
2024-01-16,Dipirona,Analgésico,308,29,2025-09-30,16.54
2024-01-17,Dipirona,Analgésico,456,94,2025-10-31,38.24
2024-01-18,Ibuprofeno,Antibiótico,90,4,2025-11-30,25.56
2024-01-19,Amoxicilina,Analgésico,394,44,2025-12-31,25.68
2024-01-20,Paracetamol,Antibiótico,476,5,2026-01-31,19.41
