Data,Categoria,Receita (R$),Despesa (R$),Lucro Líquido (R$)
2024-01-01,Consulta,12030,13192,-1162
2024-01-02,Consulta,15230,33503,-18273
2024-01-03,Exames,43641,3675,39966
2024-01-04,Exames,47989,37066,10923
2024-01-05,Internação,33204,10050,23154
2024-01-06,Medicamentos,36663,7238,29425
2024-01-07,Consulta,32008,22873,9135
2024-01-08,Consulta,47451,34020,13431
2024-01-09,Exames,48411,22517,25894
2024-01-10,Consulta,7939,18096,-10157
2024-01-11,Cirurgia,40954,11216,29738
2024-01-12,Internação,4754,39021,-34267
2024-01-13,Cirurgia,47789,1261,46528
2024-01-14,Internação,43290,17026,26264
2024-01-15,Cirurgia,34793,19844,14949
2024-01-16,Cirurgia,46182,12318,33864
2024-01-17,Consulta,27107,32208,-5101
2024-01-18,Exames,5217,12228,-7011
2024-01-19,Internação,16817,35317,-18500
2024-01-20,Internação,24949,11862,13087
2024-01-21,Consulta,18799,13378,5421
2024-01-22,Medicamentos,14666,38506,-23840
2024-01-23,Consulta,44050,20199,23851
2024-01-24,Internação,35113,25491,9622
2024-01-25,Exames,1359,7812,-6453
2024-01-26,Consulta,30334,33717,-3383
2024-01-27,Consulta,19946,22695,-2749
2024-01-28,Consulta,10161,1722,8439
2024-01-29,Internação,46797,17783,29014
2024-01-30,Medicamentos,35432,35512,-80
