Data,Setor,Total de Leitos,Leitos Ocupados,Leitos Disponíveis,Taxa de Ocupação (%)
2024-01-01,Clínica Médica,15,35,-20,233.33333333333334
2024-01-02,UTI,18,32,-14,177.77777777777777
2024-01-03,Emergência,16,16,0,100.0
2024-01-04,UTI,48,9,39,18.75
2024-01-05,UTI,26,34,-8,130.76923076923077
2024-01-06,Pediatria,46,24,22,52.17391304347826
2024-01-07,UTI,26,32,-6,123.07692307692308
2024-01-08,Emergência,38,37,1,97.36842105263158
2024-01-09,Clínica Médica,37,9,28,24.324324324324326
2024-01-10,Pediatria,26,13,13,50.0
2024-01-11,Clínica Médica,14,14,0,100.0
2024-01-12,Clínica Médica,33,47,-14,142.42424242424244
2024-01-13,Clínica Médica,19,44,-25,231.57894736842107
2024-01-14,UTI,24,13,11,54.166666666666664
2024-01-15,Pediatria,26,19,7,73.07692307692307
2024-01-16,Emergência,45,28,17,62.22222222222222
2024-01-17,UTI,39,31,8,79.48717948717949
2024-01-18,Clínica Médica,24,14,10,58.333333333333336
2024-01-19,UTI,19,30,-11,157.89473684210526
2024-01-20,Pediatria,13,18,-5,138.46153846153845
2024-01-21,Emergência,25,20,5,80.0
2024-01-22,UTI,16,46,-30,287.5
2024-01-23,Pediatria,46,5,41,10.869565217391305
2024-01-24,Clínica Médica,35,35,0,100.0
2024-01-25,UTI,34,16,18,47.05882352941176
2024-01-26,UTI,22,46,-24,209.0909090909091
2024-01-27,UTI,11,23,-12,209.0909090909091
2024-01-28,Pediatria,23,7,16,30.434782608695656
2024-01-29,Clínica Médica,42,23,19,54.761904761904766
2024-01-30,Emergência,30,13,17,43.333333333333336
